,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,C03,SYBR,mCherry,Unkn-03,40-3,,29.1412433279546,28.8010490952133,0.30630044350217,10.0150727843761,1.00065410986904,13.4679856015458,3.16358417899788,67,
,C04,SYBR,mCherry,Unkn-04,40-4,,27.3334305005787,27.7527281952301,0.443923085297332,43.4942035312759,1.63843138242316,32.2698959494416,11.145018114945,67,
,C05,SYBR,mCherry,Unkn-05,40-5,,28.3025493277445,28.7028846383852,0.590971860044354,19.7941335181342,1.29653649540223,15.3201108418434,6.20350345329117,67,
,C06,SYBR,mCherry,Unkn-06,40-6,,27.6849032189552,27.6393491723519,0.0479482185104302,32.6915505414372,1.51443551940633,33.9411453060958,1.32531093353556,67,
,D01,SYBR,mCherry,Unkn-13,41-1,,24.2119142824789,24.3020747956159,0.346140880357549,549.122623514044,2.73966933674327,523.418717194014,138.268055764909,67,
,D02,SYBR,mCherry,Unkn-14,41-2,,24.2974261755366,24.5922496170263,0.336659199563741,512.273209437842,2.70950164399356,413.004238885539,107.231477102505,67,
,D03,SYBR,mCherry,Unkn-15,41-3,,22.3974953195328,22.2803810512497,0.112230542806656,2397.60250759957,3.37977718415684,2644.18098104525,239.285952001675,67,
,D04,SYBR,mCherry,Unkn-16,41-4,,24.6486489666155,24.4127898792838,0.212585370360964,385.118119833224,2.58559395268779,470.992676299844,78.3247205567272,67,
,D05,SYBR,mCherry,Unkn-17,41-5,,31.0189831231551,30.7675029942166,0.355646609012171,2.1787497063769,0.33820734158958,2.7285162286801,0.77748727197988,67,
,D06,SYBR,mCherry,Unkn-18,41-6,,27.8496328240332,27.940929775608,0.129113387120323,28.5970117950129,1.45632065450183,26.6259618166801,2.78748561147342,67,
,D08,SYBR,mCherry,Unkn-20,41-8,,28.1750361274449,28.2410108138693,0.0933022963147472,21.9544117861708,1.3415218057564,20.8386715116192,1.57789502835687,67,
