Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point
F03,SYBR,mCherry,Unkn-15,100-3,,28.83083641,28.92424074,0.082522245,398.220411,2.600123516,374.8583785,20.60481763,67
F04,SYBR,mCherry,Unkn-16,100-4,,26.66056188,26.91521885,0.228192395,1660.321867,3.220192288,1415.00292,218.2106487,67
F05,SYBR,mCherry,Unkn-17,100-5,,31.23625286,31.69338672,0.465606466,81.82243264,1.912872387,62.46986898,18.76442302,67
F06,SYBR,mCherry,Unkn-18,100-6,,30.19305176,30.46471812,0.281375464,162.526879,2.210925196,137.4750702,25.1106773,67
F07,SYBR,mCherry,Unkn-19,100-7,,32.28760602,32.9251926,0.594566326,40.97231009,1.612490451,28.37058442,11.36706121,67
F08,SYBR,mCherry,Unkn-20,100-8,,31.8493508,31.92787853,0.085422707,54.66436115,1.737704277,51.96648816,2.901658971,67
A01,SYBR,mCherry,Unkn-01,99-1,,23.08775419,23.06839006,0.022735676,7491.265128,3.874555168,7590.410873,116.7841191,67
A02,SYBR,mCherry,Unkn-02,99-2,,22.50055303,22.34084135,0.210779479,11134.58945,4.046674209,12487.63752,1831.608247,67
A03,SYBR,mCherry,Unkn-03,99-3,,22.40167943,22.07052395,0.319128492,11902.98293,4.075655811,15113.20413,3195.188558,67
A04,SYBR,mCherry,Unkn-04,99-4,,23.49241349,23.37354229,0.156702495,5700.886233,3.755942374,6200.560219,671.3334577,67
A05,SYBR,mCherry,Unkn-05,99-5,,28.06726325,27.87031036,0.177426673,259.9998091,2.414973029,298.362986,34.8336163,67
A06,SYBR,mCherry,Unkn-06,99-6,,29.01789704,29.00870356,0.008259577,136.8754174,2.136325457,137.728788,0.766928982,67
B01,SYBR,mCherry,Unkn-01,99-1,,23.043356,23.06839006,0.022735676,7719.142582,3.887569063,7590.410873,116.7841191,67
B02,SYBR,mCherry,Unkn-02,99-2,,22.10193481,22.34084135,0.210779479,14571.90247,4.163516256,12487.63752,1831.608247,67
B03,SYBR,mCherry,Unkn-03,99-3,,21.76496395,22.07052395,0.319128492,18293.14482,4.262288372,15113.20413,3195.188558,67
B04,SYBR,mCherry,Unkn-04,99-4,,23.19596313,23.37354229,0.156702495,6963.654498,3.842837215,6200.560219,671.3334577,67
B05,SYBR,mCherry,Unkn-05,99-5,,27.82069491,27.87031036,0.177426673,307.0764889,2.487246566,298.362986,34.8336163,67
B06,SYBR,mCherry,Unkn-06,99-6,,29.00630464,29.00870356,0.008259577,137.9505365,2.139723394,137.728788,0.766928982,67
C01,SYBR,mCherry,Unkn-01,99-1,,23.07405999,23.06839006,0.022735676,7560.824909,3.878569181,7590.410873,116.7841191,67
C02,SYBR,mCherry,Unkn-02,99-2,,22.4200362,22.34084135,0.210779479,11756.42065,4.070275117,12487.63752,1831.608247,67
C03,SYBR,mCherry,Unkn-03,99-3,,22.04492847,22.07052395,0.319128492,15143.48465,4.180225822,15113.20413,3195.188558,67
C04,SYBR,mCherry,Unkn-04,99-4,,23.43225024,23.37354229,0.156702495,5937.139925,3.773577284,6200.560219,671.3334577,67
C05,SYBR,mCherry,Unkn-05,99-5,,27.72297293,27.87031036,0.177426673,328.0126601,2.515890606,298.362986,34.8336163,67
C06,SYBR,mCherry,Unkn-06,99-6,,29.00190898,29.00870356,0.008259577,138.36041,2.14101184,137.728788,0.766928982,67
D01,SYBR,mCherry,Unkn-13,99-13,,24.02628836,23.88613192,0.123468696,3976.071723,3.59945421,4380.539025,357.1966959,67
D02,SYBR,mCherry,Unkn-14,99-14,,24.17030522,24.05461082,0.103926219,3607.782284,3.557240322,3907.128564,270.0290806,67
