,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,E03,SYBR,mCherry,Unkn-15,95B-15,,22.4204020523035,22.3767289576418,0.28485454239837,8981.06048016105,3.95332762102027,9374.06693188623,1862.06110918526,67,
,F01,SYBR,mCherry,Unkn-13,95B-13,,21.2558756561722,21.8174813789517,0.556049095955513,19964.1360616718,4.30025052105343,14250.5969695912,5368.56128159231,67,
,F02,SYBR,mCherry,Unkn-14,95B-14,,22.6688788811246,23.009205557627,0.512579482765681,7573.63090271993,3.87930413616665,6230.16257718445,1943.13262128945,67,
,F03,SYBR,mCherry,Unkn-15,95B-15,,22.6372248489839,22.3767289576418,0.28485454239837,7739.87875256414,3.8887341573877,9374.06693188623,1862.06110918526,67,
,G09,SYBR,mCherry,Unkn-25,NTC,,31.168362758679,30.3032750721671,1.46521775423899,22.2449457380229,1.34723135071315,56.1214102975816,41.5399668039701,67,
,G10,SYBR,mCherry,Unkn-25,NTC,,30.5093836341319,30.3032750721671,1.46521775423899,34.9580473328001,1.54354716605979,56.1214102975816,41.5399668039701,67,
,G11,SYBR,mCherry,Unkn-25,NTC,,30.5104076901168,30.3032750721671,1.46521775423899,34.9334992456142,1.54324209056021,56.1214102975816,41.5399668039701,67,
,G12,SYBR,mCherry,Unkn-25,NTC,,29.0768295201735,30.3032750721671,1.46521775423899,93.393776459867,1.97031793683832,56.1214102975816,41.5399668039701,67,
,H09,SYBR,mCherry,Unkn-25,NTC,,29.6562290208541,30.3032750721671,1.46521775423899,62.7638546610543,1.7977096080605,56.1214102975816,41.5399668039701,67,
,H10,SYBR,mCherry,Unkn-25,NTC,,33.2739841313619,30.3032750721671,1.46521775423899,5.24744363756621,0.719947782552116,56.1214102975816,41.5399668039701,67,
,H11,SYBR,mCherry,Unkn-25,NTC,,29.6743938243672,30.3032750721671,1.46521775423899,61.9866476447386,1.79229814951886,56.1214102975816,41.5399668039701,67,
,H12,SYBR,mCherry,Unkn-25,NTC,,28.5566099976521,30.3032750721671,1.46521775423899,133.443067660989,2.12529601720348,56.1214102975816,41.5399668039701,67,
