"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF497-AS1_ENSG00000269054",17.4188214564831,0.996327948777272,1.74997998186725,0.569336769049311,0.569127618579944,1
"CALR3_ENSG00000269058",8.10994513198134,-1.76916841625305,2.47021137823077,-0.716201225467669,0.473867106499764,1
"ZNF728_ENSG00000269067",0.352163367385165,1.23098406151651,6.68875656533088,0.184037802765455,0.853983799071462,1
"ENSG00000269068",4.48068575409146,-0.0911194311676376,3.16111224724205,-0.0288251172501501,0.977004068531755,1
"ENSG00000269069",16.1486236278667,1.4718017654884,1.80656628770663,0.814695688447062,0.415246521945995,1
"ENSG00000269086",0.246944823403585,3.67321795453324,6.84244043521469,0.536828634361066,0.591385990487946,1
"ENSG00000269091",9.18030623930665,-1.2097437681001,2.3138339975236,-0.522830838078633,0.601091977464876,1
"TRABD2B_ENSG00000269113",117.182505682116,-0.00706258709007654,0.708646541906524,-0.00996630431734775,0.992048171295985,1
"FAM90A28P_ENSG00000269118",1.94827983262493,3.67302677200947,5.77214928981522,0.636336066097668,0.524557402343147,1
"HNRNPA1P52_ENSG00000269119",0.366856801214336,0,7.06685095998295,0,1,1
"ENSG00000269125",0.120771434784737,0,7.06685096016595,0,1,1
"ENSG00000269139",2.31689630018125,-3.79666603881293,5.34545490203181,-0.710260606140334,0.4775425439038,1
"ENSG00000269148",1.59805778609107,4.25794747437401,6.19380310765232,0.687452829928255,0.491797415890859,1
"LYPLA2P2_ENSG00000269153",0.247707682377439,0,7.06685095989053,0,1,1
"ENSG00000269176",24.6233791425032,-0.0587000980222588,1.46705763099644,-0.0400121282095709,0.96808345712395,1
"LINC01082_ENSG00000269186",0.54778114807205,0,7.06685095961716,0,1,1
"ENSG00000269189",0.273502671806894,0,7.06685095961601,0,1,1
"FBXO17_ENSG00000269190",1181.5567227759,0.200718741973606,0.277371491605257,0.723645897463968,0.469283156022243,1
"ENSG00000269191",0.253872495185405,0,7.06685095975371,0,1,1
"ENSG00000269194",9.46184023334076,-0.156201967557343,2.24432094601042,-0.0695987656466927,0.944513019431197,1
"ENSG00000269210",0.153119139251288,0,7.06685095989143,0,1,1
"LINC00528_ENSG00000269220",2.54880796241092,1.81578152753612,4.82772003156144,0.376115747322828,0.706830847746326,1
"TMSB15B_ENSG00000269226",23.9008827028389,0.617826406777893,1.47842573764603,0.417894785680343,0.676024045081274,1
"ZNF350-AS1_ENSG00000269235",2.50376327708572,2.40072209894054,4.51622261108811,0.531577449934898,0.595018686360681,1
"ENSG00000269236",0.730341840029886,0,7.06685095939565,0,1,1
"ENSG00000269242",18.5519526744134,-0.390683658360539,1.68294904857717,-0.232142297291079,0.816427493569217,1
"ENSG00000269243",4.11269353520627,0.815761637440619,3.25284958656448,0.250783694644237,0.801981348598528,1
"ENSG00000269246",0.662923682950813,-2.21171799161401,6.91814944100532,-0.319697920733643,0.749197336144688,1
"ENSG00000269275",0.1230426832148,0,7.06685096016466,0,1,1
"ENSG00000269289",0.487711888514797,3.673131987082,6.84244043468898,0.536816070544129,0.591394669784987,1
"ZSCAN16-AS1_ENSG00000269293",171.898890137776,-0.254625528871204,0.599236008185983,-0.424916936553947,0.670897227710589,1
"ENSG00000269296",1.61476003410374,1.23072428614084,5.57947914722894,0.220580497509714,0.825419087771633,1
"GRAMD1A-AS1_ENSG00000269303",0.153119139251288,0,7.06685095989143,0,1,1
"FKBP1AP1_ENSG00000269304",1.64898596875395,0.23079059960014,6.06323651874201,0.0380639282150294,0.969636711569699,1
"MAGIX_ENSG00000269313",43.3147537436786,0.471810020015846,1.12463357714516,0.419523327067574,0.674833710201612,1
"ENSG00000269318",5.77361962824562,0.423455402468148,2.77687403647834,0.15249355819005,0.878797670839988,1
"IKBKG_ENSG00000269335",207.548842480691,-0.196620160371775,0.54771295520352,-0.358983950450313,0.719607095817898,1
"ZNF587B_ENSG00000269343",306.004063744911,-0.111352325600239,0.456388797008246,-0.243985668206986,0.807241919670062,1
"PTOV1-AS2_ENSG00000269352",98.9791757861449,-0.388453160222849,0.767806063217944,-0.505926143113284,0.612908498818378,1
"ENSG00000269374",6.12849427843651,-0.0322270413843658,2.77928068853758,-0.0115954611987475,0.990748367855531,1
"ENSG00000269376",0.126936247592703,0,7.06685095989143,0,1,1
