"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000260293",29.7066521832146,0.0263764334342081,1.35401315674669,0.0194801899101064,0.984458040206884,1
"ENSG00000260296",13.2134106366215,-0.0472759033825285,1.9500571522068,-0.0242433424728236,0.980658505984402,1
"ACTG1P16_ENSG00000260298",0.852557974222442,4.51058218794945,6.7966658222329,0.663646309223364,0.506916710571421,1
"LINC01882_ENSG00000260302",2.93032158951251,2.20571658254931,4.24261474083108,0.519895563771421,0.603136367557788,1
"ENSG00000260303",0.120383532555606,0,7.06685095989142,0,1,1
"ENSG00000260304",0.734347019994548,3.77355257206469,6.81704790360164,0.55354643614445,0.579889292462721,1
"NTRK3-AS1_ENSG00000260305",0.369128049644399,0,7.06685095998244,0,1,1
"ENSG00000260306",12.9739437150436,1.33121309937171,2.04263963907461,0.651712163959961,0.51458687407172,1
"MRC1_ENSG00000260314",5.10396802777406,-0.838686732923774,3.29292710655605,-0.254693379411282,0.798959930121196,1
"ENSG00000260316",5.0051983789829,2.55351808657891,3.49347901092653,0.730938436610693,0.464816757222509,1
"ENSG00000260317",78.3831825548749,-0.36921123116162,0.852339143207449,-0.433174088159598,0.664888301955004,1
"HSPB9_ENSG00000260325",9.49457016349805,1.86171718722214,2.34784977052417,0.79294561798411,0.427809507649201,1
"PHBP21_ENSG00000260326",0.126936247592703,0,7.06685095989143,0,1,1
"ENSG00000260329",38.2789342108983,-0.154195955108546,1.18879444522577,-0.129707836142574,0.89679758260235,1
"ENSG00000260331",5.02259041457092,-0.575639558592432,2.99096098077557,-0.192459735279852,0.84738210486598,1
"ENSG00000260337",0.10521854398158,0,7.06685095989142,0,1,1
"HEXA-AS1_ENSG00000260339",14.0857189908469,1.42431882701386,2.06441559595037,0.689938028858068,0.490233159559507,1
"ENSG00000260342",9.01312307617997,0.861740217047351,2.41260815611209,0.357182004406403,0.72095555694505,1
"ENSG00000260345",0.10521854398158,0,7.06685095989142,0,1,1
"MOCS1P1_ENSG00000260347",0.2460853664296,0,7.06685096002798,0,1,1
"ENSG00000260350",0.153119139251288,-2.69597637572447,6.91817727083402,-0.389694607435154,0.696762384544729,1
"ENSG00000260352",0.361150597666818,0,7.0668509597078,0,1,1
"DNM1P34_ENSG00000260357",0.50081731858899,0,7.06685095934057,0,1,1
"ENSG00000260360",3.49961373782249,-0.838674566460501,3.59067238602645,-0.233570339005115,0.815318556890008,1
"ENSG00000260361",15.6185632970491,0.0681961645740205,1.82571861796653,0.0373530531500943,0.970203504683319,1
"ENSG00000260366",0.369128049644399,0,7.06685095998244,0,1,1
"ENSG00000260367",9.82065354302719,-0.476120404064133,2.33978786579385,-0.203488705546643,0.838753072682686,1
"ENSG00000260368",3.57080814855732,-1.83865509510767,3.93240752943479,-0.467564737719832,0.640095886651046,1
"ENSG00000260369",15.6276915139214,1.48319981805254,1.99092457522305,0.74498041588862,0.456283559154735,1
"AQP4-AS1_ENSG00000260372",0.701175569569226,2.18868243087111,6.91805557286144,0.31637248469888,0.751719799237363,1
"ENSG00000260377",0.241154967340343,0,7.06685095989053,0,1,1
"ENSG00000260381",0.797189762167164,0,7.0668509592258,0,1,1
"ENSG00000260382",1.21806263113631,-2.69622586342872,6.91815127002189,-0.389732134813553,0.696734631622263,1
"LINC00562_ENSG00000260388",11.5809089898266,0.639346405769703,2.0901065296274,0.305891779537035,0.759687045137712,1
"WBP11P1_ENSG00000260389",2.58726479565952,4.18863030576589,4.54953736511812,0.920671701232888,0.35722185502821,1
"LINC02867_ENSG00000260394",1.83647606032803,4.18854527478416,5.95723643714098,0.703102070730357,0.481992141791576,1
"ENSG00000260395",1.00238455066743,0,7.06685095924875,0,1,1
"ENSG00000260398",3.77595154387942,1.06819708058814,3.59761063717753,0.296918479601279,0.766528747371805,1
"ENSG00000260400",150.854851905011,-0.0198482699003994,0.631691174636744,-0.0314208440727594,0.974933918190901,1
"ENSG00000260404",1033.01771316383,0.357907027091253,0.29405318062756,1.21715067433523,0.223546893357156,1
"ENSG00000260416",1.01071572927651,0,7.06685095893661,0,1,1
"ENSG00000260417",0.789324017641524,-3.69589110144618,6.84258802423545,-0.540130589238439,0.589106976566562,1
"ENSG00000260418",4.99563120131051,0.746254316927165,3.30828498084107,0.225571352301531,0.821534824145368,1
"LINC02182_ENSG00000260420",0.123472411701793,0,7.06685095989143,0,1,1
"LINC02367_ENSG00000260423",13.0653259422674,1.12476232873586,2.03688980222061,0.552195964410861,0.580814098989344,1
"ENSG00000260426",0.33347977117796,0,7.06685095975152,0,1,1
"AGGF1P9_ENSG00000260427",0.123472411701793,0,7.06685095989143,0,1,1
"SCX_ENSG00000260428",17.4937283795731,1.65313204176606,1.86796497478174,0.884990920110384,0.376161528554411,1
"ENSG00000260430",22.0754238624835,-0.777289405078109,1.5518710789179,-0.500872408563797,0.616460921876101,1
"LMF1-AS1_ENSG00000260439",1.22000074907951,-2.69625291979658,6.91814845040113,-0.389736204582346,0.696731621897974,1
"ENSG00000260441",0.10521854398158,0,7.06685095989142,0,1,1
"ATP2A1-AS1_ENSG00000260442",409.133654092939,-0.213094916713471,0.414265479656935,-0.514392164391639,0.606977836402734,1
"ENSG00000260447",0.489511582200005,0,7.06685095970701,0,1,1
"LCMT1-AS1_ENSG00000260448",31.4863207399418,0.916186544453833,1.34134852441597,0.68303392278509,0.494585407229398,1
"TPRKBP2_ENSG00000260452",0.732731539459588,0,7.06685095952499,0,1,1
"NBAT1_ENSG00000260455",3.33516964246211,5.35853420246038,4.64726412711714,1.15305135578435,0.248889306032467,1
"C16orf95_ENSG00000260456",344.902926441031,-0.0394495170296844,0.437145044562004,-0.0902435416355016,0.928093684238518,1
"ENSG00000260457",0.128424177251856,2.18884368763824,6.91805557389042,0.316395794202521,0.751702108868765,1
"ENSG00000260461",0.246515094916592,0,7.06685095988925,0,1,1
"ENSG00000260464",6.51735104909178,0.00934359752567188,2.6531912529779,0.00352164493049069,0.997190139689306,1
