"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTAGE1_ENSG00000212710",1.34925007628361,3.71287663870822,6.84244047990104,0.54262461611678,0.58738828680465,1
"LINC02693_ENSG00000212719",2075.81842093562,-0.0313703023508112,0.239335702274316,-0.131072389337283,0.895718042817144,1
"LINC02656_ENSG00000212743",2.19381813933512,-2.17195814949517,5.5628366063108,-0.390440759491512,0.696210652977262,1
"RTL8B_ENSG00000212747",692.326521178117,0.0612030593143638,0.330999703292126,0.184903668207668,0.853304593791314,1
"EWSAT1_ENSG00000212766",2.38138932699264,-4.75663893712774,5.45670664644589,-0.871705086111946,0.383369284883794,1
"ST13P5_ENSG00000212789",5.80076462582473,1.07805605610507,2.89004447096151,0.373024037151373,0.709130553989059,1
"RPL15P3_ENSG00000212802",74.4144311949883,-0.314244414626122,0.877472342446924,-0.358124580599109,0.720250084697406,1
"RPS26P3_ENSG00000212829",0.744088688273655,0,7.06685095929441,0,1,1
"RNF208_ENSG00000212864",299.445254074104,0.27910370194883,0.466486592198135,0.598310233598919,0.549632949508586,1
"KRTAP3-2_ENSG00000212900",0.10521854398158,-2.17163566741046,6.91816694320699,-0.313903333822091,0.75359445825305,1
"MT-ND4L_ENSG00000212907",2143.58046572612,-0.391561541683611,0.724404078027045,-0.540529179170348,0.588832143577792,1
"ENSG00000212952",5.11670780349329,-0.729248797067338,3.07490817097365,-0.237161162714146,0.81253176452876,1
"HNRNPA1P40_ENSG00000212961",0.645289872110488,0,7.06685095968424,0,1,1
"ENSG00000212978",483.125687313868,-0.141181833145638,0.418126043726702,-0.337653765566246,0.735624120143756,1
"POU5F1B_ENSG00000212993",0.379109118017605,-2.17172450711059,6.91815768482706,-0.31391659543604,0.753584385716091,1
"RPS26P6_ENSG00000212994",1.43863449793896,-3.17167502500621,6.84257623637421,-0.463520597424405,0.642991254361676,1
"BTF3P12_ENSG00000213003",0.49388964680717,0,7.06685095968485,0,1,1
"PTTG3P_ENSG00000213005",1.67049137788299,-0.144104897336485,5.82469203387148,-0.0247403461845696,0.980262073318203,1
"RPS15AP36_ENSG00000213013",0.618458047969678,3.71305779960387,6.84244043641819,0.542651095629785,0.587370051636128,1
"VN2R17P_ENSG00000213014",1.37677759817766,0,7.06685095877594,0,1,1
"ZNF580_ENSG00000213015",1643.29381009831,-0.0213111739938913,0.251338578139124,-0.0847907000655302,0.932427787186974,1
"PABPN1P1_ENSG00000213018",2.44578682946661,-0.0511167769192075,4.52619213068264,-0.0112935499517777,0.990989242402312,1
"ZNF611_ENSG00000213020",161.410378138866,0.108096334893355,0.609265093604986,0.177420856746864,0.859177825878094,1
"SYT3_ENSG00000213023",126.333875171204,0.477166373751433,0.690016633908911,0.691528798441146,0.489233289369575,1
"NUP62_ENSG00000213024",3929.93469225829,-0.0112888050710918,0.209713691098063,-0.0538296046003651,0.957070922646536,1
"COX20P1_ENSG00000213025",0.701183083881874,-0.728998739600441,6.68878682624417,-0.108988185531663,0.913211861091129,1
"CFL1P4_ENSG00000213026",0.636169167622666,4.7130270884692,6.80431658076841,0.692652529100425,0.488527636626422,1
"ENSG00000213028",6.36792687153892,-3.05116788219872,3.05875442316915,-0.997519728647398,0.318512302516206,1
"AURKAP1_ENSG00000213033",2.76451271003234,1.85555661495395,4.29922362687249,0.431602720862369,0.666030180585818,1
"ENSG00000213036",0.949708396975437,0.270903912794306,6.61054787858082,0.0409805537710537,0.967311398679949,1
"ENSG00000213041",0.120771434784737,0,7.06685096016595,0,1,1
"DENND1B_ENSG00000213047",510.043522558194,0.153097633021025,0.37342733488933,0.409979716847449,0.681820826583336,1
"OR5S1P_ENSG00000213048",0.2460853664296,0,7.06685096002798,0,1,1
"TPM3P1_ENSG00000213050",0.510720849689118,3.71304648871194,6.84244048066075,0.542649439071683,0.587371192420428,1
"RPL5P5_ENSG00000213051",2.357304942928,1.27061230721562,4.28259072509225,0.296692443611511,0.766701326550442,1
"EEF1B2P7_ENSG00000213055",0.153119139251288,0,7.06685095989143,0,1,1
"C1orf220_ENSG00000213057",10.9632652863229,0.85567169431849,2.13530156799169,0.400726392536336,0.688621577182845,1
"ENSG00000213058",24.4376871149267,-0.339332600589102,1.47746206144223,-0.229672632174298,0.818346162804933,1
"ENSG00000213062",111.529517662496,-0.274444279636273,0.722139472590164,-0.380043315804215,0.703913261758764,1
"RPL29P7_ENSG00000213063",0.120383532555606,0,7.06685095989143,0,1,1
"SFT2D2_ENSG00000213064",2136.4752660747,0.142970592787512,0.237539612117985,0.60188105685926,0.547253314567006,1
"CEP43_ENSG00000213066",919.257064267315,0.184037258038082,0.299774215485349,0.613919571902195,0.539268476185886,1
"ENSG00000213067",0.904896281007279,-2.17188191561952,6.91814128166909,-0.313940092749237,0.753566539005203,1
"KRT8P40_ENSG00000213069",0.120383532555606,0,7.06685095989143,0,1,1
"HMGB3P6_ENSG00000213070",2.76377459095878,-0.729181658186412,4.0397278525851,-0.180502668693337,0.856757959491829,1
"LPAL2_ENSG00000213071",11.3769548177425,-0.0702964890888345,2.40073262827811,-0.0292812653357628,0.97664026859193,1
"RPL31P11_ENSG00000213075",0.1230426832148,0,7.06685096016466,0,1,1
"SCAF8_ENSG00000213079",3284.98220062694,0.00790105104205423,0.215418435776743,0.0366776920163081,0.970741995864752,1
"ENSG00000213080",9.40036907827687,-0.198746195817445,2.27868358868007,-0.0872197424884995,0.930496846919783,1
"PPP1R14BP2_ENSG00000213082",1.04203280613954,3.71290998654273,6.84244048002611,0.542629489782359,0.587384930525624,1
"CFAP45_ENSG00000213085",6.96806725944134,-2.42968014807975,2.70243155614903,-0.899071853476302,0.368614389178068,1
"ENSG00000213087",2.71818987344047,-0.729183036402181,4.02896589180286,-0.180985159960213,0.856379224292809,1
"PDCL3P5_ENSG00000213089",4.52762542439247,2.59259047735303,3.36573594546039,0.770289327316316,0.441128285874869,1
"SCYL2P1_ENSG00000213090",3.77186535054598,-2.05116642894933,3.66491348272849,-0.5596766304623,0.575700025304382,1
"PHBP1_ENSG00000213091",0.128424177251856,0,7.06685095989143,0,1,1
"ZNF254_ENSG00000213096",469.028554098885,-0.125825293319471,0.385079240070935,-0.326751692187542,0.743855699547862,1
"KRT18P68_ENSG00000213100",0.120383532555606,0,7.06685095989143,0,1,1
"NPM1P46_ENSG00000213104",34.7693225657916,0.0878551348997608,1.25430532959363,0.0700428618351036,0.944159544578166,1
"BTF3L4P3_ENSG00000213108",1.47408246200065,0,7.06685095917899,0,1,1
"ENSG00000213109",0.256848354503713,0,7.06685095975372,0,1,1
"TUBB8P8_ENSG00000213113",0.240767065111212,0,7.0668509597537,0,1,1
"ENSG00000213115",0.120383532555606,0,7.06685095989143,0,1,1
"MEMO1P2_ENSG00000213117",0.120383532555606,0,7.06685095989143,0,1,1
"DYNLT2B_ENSG00000213123",183.526604821406,0.0723876053081637,0.576737423221823,0.125512239007806,0.900118036332127,1
"TXNL4AP1_ENSG00000213126",0.306238278502577,0,7.06685095975371,0,1,1
"RPL32P31_ENSG00000213128",0.961008696773896,-3.75654790450809,6.81719749540691,-0.551039911494286,0.581606315128571,1
"YWHAZP4_ENSG00000213131",2.40180776681696,0.533842840314608,4.22215149882538,0.126438580061167,0.899384764717498,1
"ARF1P2_ENSG00000213137",0.374939272168449,0,7.06685095961382,0,1,1
"CRYGS_ENSG00000213139",20.1312649471616,-0.172878126538777,1.67149511953275,-0.103427239791823,0.917623893844927,1
"ELK2AP_ENSG00000213140",0.10521854398158,-2.17163566741046,6.91816694320699,-0.313903333822091,0.75359445825305,1
"ENSG00000213144",7.82155129637274,0.533737189857458,2.50713326278917,0.212887443112489,0.831414756834553,1
"CRIP1_ENSG00000213145",1.6970847088411,1.00786438945855,5.72422167000519,0.176070118797066,0.860238855907935,1
"CNN2P9_ENSG00000213149",2.54950762891376,1.00771700743611,4.46060595812632,0.225914823433406,0.821267668417495,1
"ENSG00000213150",0.36231430435421,0,7.06685095998404,0,1,1
"RPL7AP60_ENSG00000213152",1.76857272953869,5.52029737117304,6.42547283617156,0.859127026434082,0.390270438013561,1
"RPL32P10_ENSG00000213157",0.357115132935229,-2.17174748207526,6.91815529042037,-0.31392002505097,0.753581780842147,1
"KLHL23_ENSG00000213160",2152.67453369311,-0.0831145224045998,0.23792459778764,-0.349331356141595,0.726840560640192,1
"ENSG00000213169",15.251522796607,-1.09184572133807,1.87738389011605,-0.581578294714451,0.560850766597401,1
"RPL13P6_ENSG00000213176",0.457756868111468,-0.728945165279997,6.68878971392657,-0.108980128910657,0.913218251281836,1
"PRDX2P4_ENSG00000213177",0.683470165561896,0,7.06685095906515,0,1,1
"RPL22P1_ENSG00000213178",35.9923661934872,-0.269848081904051,1.22453763708344,-0.220367323740874,0.825585091777897,1
"RPL36AP48_ENSG00000213180",0.971708492129341,-3.75651694436128,6.81719858700795,-0.551035281782807,0.581609488777417,1
"RPS7P8_ENSG00000213183",0.934021119883594,-3.75654796040317,6.81719749343715,-0.551039919852632,0.581606309398965,1
"ENSG00000213184",1.09640690174456,1.27070771911821,6.68873604278174,0.189977255940532,0.849326953085534,1
"FAM24B_ENSG00000213185",62.6858208599014,0.0143785722810825,0.94156398475144,0.0152709454842607,0.987816021925307,1
"TRIM59_ENSG00000213186",850.811313009578,0.0774501916687665,0.309577743811435,0.250180102468676,0.802448072005648,1
"COPS5P1_ENSG00000213187",0.128424177251856,0,7.06685095989143,0,1,1
"YBX1P4_ENSG00000213188",5.75745954427639,-2.89913014808014,3.43269004405782,-0.844565081865956,0.398353711804582,1
"BTF3L4P2_ENSG00000213189",1.87307114791681,-3.75678122445663,5.42684945749127,-0.692258234521457,0.488775173537951,1
"MLLT11_ENSG00000213190",354.848153577959,0.161939407374758,0.438829907358614,0.369025457607245,0.712108749474695,1
"CDK7P1_ENSG00000213194",1.38896812133227,-0.729179068304607,5.92065466150966,-0.123158520466498,0.901981571314779,1
"NUDCP1_ENSG00000213197",1.16273964938325,5.03478254251931,6.7966660579827,0.740772387456927,0.458831460133527,1
"ASIC3_ENSG00000213199",93.7220595788371,-0.279833890386977,0.832519287655359,-0.336129017713306,0.736773577205483,1
"ENSG00000213204",3.54270710679513,-4.97919154222167,4.30545580047081,-1.15648418494441,0.24748316477133,1
"STRADBP1_ENSG00000213205",0.43869831515954,-3.75636886974636,6.81720380830763,-0.551013139018779,0.581624667666248,1
"NCLP1_ENSG00000213212",2.84085797083087,0.27062955151919,4.78601100323457,0.0565459526391159,0.954906889148055,1
"CCDC183_ENSG00000213213",15.5349857026927,0.773213090181257,1.8682988634256,0.413859423306365,0.678977061930501,1
"ENSG00000213216",0.396933257250825,0,7.06685095975371,0,1,1
"CSH2_ENSG00000213218",0.501092200990242,0,7.06685095947738,0,1,1
"DNLZ_ENSG00000213221",3.87381772458572,0.270730613451404,3.28715986246067,0.0823600386896741,0.934360412555592,1
"TOMM40P4_ENSG00000213222",71.7596337933165,0.0227899539972518,0.900259000933728,0.0253148860201504,0.979803800409458,1
"NOC2LP1_ENSG00000213225",8.28897037882789,0.270729850223248,2.38392107811555,0.113564938331455,0.909582682643268,1
"RPL12P38_ENSG00000213228",3.96858999432342,0.592640670701476,3.27277179939251,0.181082185690882,0.856303067196802,1
"TCL1B_ENSG00000213231",0.306238278502577,0,7.06685095975371,0,1,1
"ST13P10_ENSG00000213234",0.98013704422584,1.27070793810215,6.68873606632545,0.189977288011042,0.849326927954591,1
"EEF1A1P16_ENSG00000213235",1.59243027938755,1.85562997437955,5.54800556937816,0.33446793648182,0.738026482068345,1
"YWHAZP2_ENSG00000213236",6.36317371901057,1.85564428733704,2.75614629757295,0.673274959667818,0.500772380138207,1
"PTMAP10_ENSG00000213237",2.95511841418016,-2.53650664710778,4.12144881978949,-0.615440530264147,0.538263831992648,1
"NPM1P32_ENSG00000213239",1.88951055727236,0.270659599366516,5.02037079437116,0.0539122727090158,0.95700505867955,1
"H3P4_ENSG00000213244",0.5260927199079,-4.49318186155219,6.79682956033293,-0.66107025660536,0.508567258777706,1
"SUPT4H1_ENSG00000213246",499.412428104943,-0.00955308068349278,0.396613291656395,-0.0240866377513366,0.980783501761386,1
"RBMS2P1_ENSG00000213250",1.23653430378175,1.27072727914119,6.68873815089441,0.189980120386574,0.849324708462318,1
"ENSG00000213252",2.75659480205887,-4.75678996331314,4.47608120127049,-1.06271306292723,0.287912095083229,1
"RPL12P42_ENSG00000213253",11.6093554495943,-0.214692578596507,2.06778557981349,-0.103827292680836,0.917306407091332,1
"YWHAZP5_ENSG00000213260",2.41372201317613,0.270757624505899,4.61911656841514,0.0586167550646592,0.953257365017702,1
"EEF1B2P6_ENSG00000213261",9.66961788247911,1.14517208912438,2.26249555284981,0.5061544044504,0.612748260618983,1
"VDAC2P3_ENSG00000213262",0.128424177251856,0,7.06685095989143,0,1,1
"NIP7P2_ENSG00000213264",0.2460853664296,0,7.06685096002798,0,1,1
"RPS6P26_ENSG00000213269",1.52825536075406,-2.17200383269305,5.58090265121198,-0.38918504199699,0.697139267708916,1
"RPL6P25_ENSG00000213270",0.120383532555606,0,7.06685095989143,0,1,1
"RPL7AP9_ENSG00000213272",0.120383532555606,0,7.06685095989143,0,1,1
"MARCKSL1P1_ENSG00000213277",0.868145674548181,3.71296052127293,6.84244048020615,0.542636875251426,0.587379844494979,1
"ENSG00000213280",2.46892747110358,0.27061697129694,4.6639846238987,0.0580226979973891,0.953730548594606,1
"NRAS_ENSG00000213281",3758.3597647607,-0.0446628438933327,0.222364387317941,-0.20085430239993,0.840812500855068,1
"ENSG00000213287",0.306238278502577,0,7.06685095975371,0,1,1
"PGK1P2_ENSG00000213290",2.49461924539462,0.270658040337132,4.56990288195695,0.0592262127507683,0.95277193152852,1
"ENSG00000213293",1.74245302587644,-4.17175591449276,5.60573213868324,-0.744194658482681,0.456758719082107,1
"ENSG00000213296",1.25084617908486,-2.17193214478327,6.91813604780526,-0.313947590763598,0.753560844130969,1
"HNRNPA3P6_ENSG00000213300",34.8094316090626,-0.345950882075147,1.24512659076371,-0.277843943452333,0.78113215672544,1
"ENSG00000213303",0.120383532555606,0,7.06685095989143,0,1,1
"ENSG00000213304",3.32333559934897,-1.72924819595131,3.72680567499268,-0.46400278059969,0.64264575345715,1
"HNRNPCP6_ENSG00000213305",4.43365945673579,2.5925415024235,3.4074540420081,0.760844158266518,0.446750155539394,1
"RPL18P11_ENSG00000213307",0.1230426832148,0,7.06685096016466,0,1,1
"RPL9P18_ENSG00000213309",3.3938063384685,2.27061907269327,3.88476929118888,0.58449264357688,0.558888913166044,1
"RPL7AP34_ENSG00000213312",0.862914496670092,-2.17182650353053,6.91814705587207,-0.313931821048398,0.753572821523523,1
"ENSG00000213315",6.77605687268555,0.756131903726411,2.79761019963428,0.270277790603301,0.786946550275516,1
"LTC4S_ENSG00000213316",15.8623897546436,1.85566573458015,1.81733634020871,1.02109097447919,0.307211338810822,1
"RPS7P11_ENSG00000213326",21.351756629885,-0.101250075553372,1.58933902553259,-0.0637057757513021,0.949204505706909,1
"ENSG00000213328",0.123472411701793,0,7.06685095989143,0,1,1
"ENSG00000213331",1.25757690016437,-4.49336518418782,6.75858522609778,-0.664838133110613,0.506154029583741,1
"SLC25A5P6_ENSG00000213332",0.459244797770622,-3.1715776810101,6.84258136503971,-0.463506023795991,0.643001698072636,1
"CLNS1AP1_ENSG00000213335",0.153119139251288,0,7.06685095989143,0,1,1
"ANKRD39_ENSG00000213337",293.482260256547,-0.267995793599935,0.477016287870728,-0.56181686121494,0.574240802874489,1
"ATF4P1_ENSG00000213338",0.306238278502577,0,7.06685095975371,0,1,1
"QTRT1_ENSG00000213339",1193.56286826724,0.130234267550917,0.275585814987442,0.472572463705548,0.636518231837815,1
"CHUK_ENSG00000213341",1903.7935712866,-0.0703214550929789,0.243948422506564,-0.288263618884794,0.773144953597967,1
"RPL21P18_ENSG00000213343",0.232154791574282,0.270943022707725,6.76609067476644,0.0400442494390718,0.968057848614771,1
"PCNPP3_ENSG00000213344",0.970219163400185,-3.1716216409005,6.84257904895748,-0.463512605146113,0.642996981756028,1
"MXD3_ENSG00000213347",585.730746392435,0.0426293357208017,0.359115729622036,0.118706400762975,0.905507965332696,1
"GAPDHP44_ENSG00000213352",1.25839453088049,-4.49332793310746,6.79682646026477,-0.661092049263889,0.508553283810809,1
"ENSG00000213361",0.251896588953649,0,7.06685095961602,0,1,1
"FTH1P12_ENSG00000213362",1.00217145649608,2.71294362335892,6.91805682387912,0.39215399532346,0.694944433581934,1
"RPS3P6_ENSG00000213363",11.7439039255496,-0.603749223091229,2.10661130265111,-0.286597352976996,0.77442064146749,1
"ENSG00000213365",0.774900429715362,-4.49328562931833,6.79682735796022,-0.661085737900337,0.508557331074949,1
"GSTM2_ENSG00000213366",509.350552025453,-0.125462652868305,0.385330971571255,-0.325597115530862,0.744729194850222,1
"RANP6_ENSG00000213370",2.40567345457025,1.85559379154946,4.45193811173317,0.416805837138436,0.676820432547909,1
"NAP1L1P3_ENSG00000213371",1.97000073397304,0.270706928253625,4.41031684854561,0.0613803809453955,0.951056276632368,1
"LINC00671_ENSG00000213373",0.827519739315216,-2.17175073855555,6.91815495111206,-0.313920511162655,0.753581411629011,1
"GAPDHP71_ENSG00000213376",0.863514088829453,0.270956744351624,6.61055075986406,0.0409885279146084,0.967305041575282,1
"COG8_ENSG00000213380",923.498731955713,-0.0593957394137509,0.299097810247958,-0.198582996527158,0.842588955511306,1
"ENSG00000213383",4.0368823874081,0.270795658196175,3.82380411809295,0.0708183917985916,0.943542294036772,1
"ENSG00000213385",23.0106957674401,0.747156655678786,1.5308635072233,0.488062229031762,0.625505763851124,1
"ENSG00000213386",0.872554691783373,0,7.06685095901705,0,1,1
"ARHGAP19_ENSG00000213390",1569.14627300213,0.0182539529004198,0.254723122887819,0.0716619390241179,0.942870946510856,1
"RPSAP46_ENSG00000213394",0.70976607704836,2.71301488539021,6.91805682426097,0.392164296175759,0.694936822990485,1
"HAUS7_ENSG00000213397",296.827046586722,-0.600959598797428,0.467067588030087,-1.28666517266173,0.198211017090201,1
"LCAT_ENSG00000213398",150.128913830016,-0.529412773644152,0.686054293173598,-0.771677662995384,0.44030536356673,1
"RPS2P17_ENSG00000213399",34.2536783128985,1.06212792651078,1.28007590705008,0.829738237131916,0.40668679756968,1
"MAGEA12_ENSG00000213401",2.89861378477988,-1.31416480161865,3.76656316224266,-0.34890289768463,0.727162209688773,1
"ANXA2P1_ENSG00000213406",4.46514888527141,1.44064606232448,3.26979042721247,0.440592782440997,0.659507828932741,1
"C1QBPP2_ENSG00000213409",0.774707892625015,3.71294956470575,6.84244048026135,0.542635273981065,0.587380947214017,1
"RBM22P2_ENSG00000213411",2.94803591207361,2.07806647092418,4.54305571050044,0.457416022022602,0.647372050381678,1
"HNRNPA1P33_ENSG00000213412",1.13987388472877,-4.49330671410532,6.79682691061088,-0.661088883562796,0.508555313865817,1
"PVRIG_ENSG00000213413",1.18530525813519,1.27073697576463,6.68873919595601,0.189981540397465,0.849323595720773,1
