"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
360012,250597,1471.13,280357,196903,587.2,1234,65.1,773,4069.5,2686.1,8463.5,5553.6,1786.2,1026.7,6050,4308.1,168,411.4,690.7,609.7,178.6,370.8,2367.9,1870.6,5636.8,4301.2,5354.5,4006.8,911.8,998,0.403892
195502,235716,849.314,178838,122161,55.5,812.2,93.4,783.5,434.6,544.4,1202.1,813.4,365.4,342.8,2526.8,1828.4,201.4,360.4,295.5,578.1,91,409.7,790,704.2,2628.8,1825.8,2948.8,2119.6,567.2,534.7,0.404892
272499,226591,1231.5,207329,143679,167.3,1071.8,313.4,1006,1761.8,1277.2,3281.8,2092,1106.5,775.7,3173.5,2195.1,496.2,407.4,191.4,437.8,640.6,355.9,904.1,776.1,2964.7,2366.4,2515.9,1851.7,439.8,442.3,0.406271
441236,299901,1506.61,316491,186081,1176.7,1250.2,-55,1134.5,11634.8,7001.5,23105.4,14436.2,4754.1,3029.1,10814.1,7086,913.7,683.5,819.3,722.9,1122.8,911.6,6071.9,4002.5,11828.8,7070.5,7023.4,4934.3,1682,1306,0.406331
396179,293354,1382.94,313570,190258,193.5,827,-204.5,660.2,2010.8,1257.7,4448.8,3025.2,1007.4,952.3,5432.8,3948.4,378.9,577.2,437.6,495.8,374.5,452.7,1549,1327.4,4698.6,3384.9,4891.9,3325,1264.6,890.4,0.406351
169697,218508,795.268,255820,146966,447.2,1339.6,50.3,1116.2,273.3,345.9,639.8,492.7,253.4,319.3,1454.9,971.1,491.6,461.4,518.4,350.4,758.1,484.8,290.7,413.3,956.2,867.8,1356.3,1188.7,692.4,408.4,0.408591
245921,252027,999.201,212003,142280,612.7,977.6,592.7,1226.9,2054.4,1508.5,4315,2813.6,1027,793.4,5265.3,3769.1,538.2,556.2,525,366,506.3,459.7,1172.1,887.5,4066.9,2810.9,6271.1,4177.1,1616.1,1015,0.40883
342972,265865,1320.99,216733,137530,608.8,1087.8,149,880.3,1691.9,1355.6,4417.8,2879.5,1406,941.9,3494.9,2404.5,369.4,374.2,188.7,401.4,728.7,540.4,1581.8,1151.1,3836.9,2586.7,3062.3,2167,874.7,757.1,0.40911
369439,285103,1326.94,290684,200658,809.2,1172.7,-306.6,865.6,2731.6,2001,6651.5,4414.6,1477.9,1213,7168.5,5895.2,923.8,1161.3,1057.7,1017.5,798.6,925.4,2097.1,1615.7,5225.1,3982.8,5212.4,4147.3,1076.1,1186.7,0.40985
486940,321967,1548.72,425879,233746,332.1,1068.4,-97.1,820.3,2648.6,1561,5649.7,3614.7,1569.1,1227.2,5967.7,4201.6,733.9,721.2,1187.9,792.1,993.5,863.6,1451.7,1104.4,4829.1,3352.8,6202.4,4112.9,1508.1,1121.8,0.41067
128272,207943,631.685,208769,133159,771.7,1436.6,399.3,1170.5,1358.7,902.5,3396.7,2599.3,1178.6,1113.5,7997,6513.2,225.8,556.3,930.5,1022.6,1008.5,680,1215.5,963.5,5240,3678.1,5897.4,4290.6,1663.8,1380.8,0.41129
331390,254571,1333.01,210626,134074,350.8,1097.6,59,929.8,1253,879.1,2347,1563.6,597.1,486.5,2496.8,1648.5,-493.6,253.9,209.8,421.1,387,506.6,642.7,632.4,2323.1,1973.4,2680.9,1962.6,850.5,584.1,0.416428
278885,240529,1187.29,287794,197910,636.4,820.2,23.8,779.5,3215.6,2062.8,6498.1,3622.5,1319.5,943.2,4271.7,2956.2,369.3,524.4,647.5,875.2,638,380.4,1949.5,1479.6,4432.9,2799.7,3726,2547.7,657.7,657.4,0.419447
221209,207252,1092.98,204647,122924,374.6,673.9,-35.1,829.1,645.7,705.2,1560.9,1170.7,252.3,343.3,1630.9,1187.2,-65.3,204.2,237.4,393.2,345.1,404.8,228,454.7,1579.6,1177.3,1700.2,1139.4,393.6,445,0.420027
271678,228967,1215.05,191406,129176,400.2,889.4,-2.7,717.3,693.9,575.6,1483.8,1133.5,645.9,546.5,2067.3,1686.8,331.3,406.1,-21.4,413.7,-225.6,226.8,438.2,572.7,2387.2,1543.5,5034.4,3384.3,1021.6,685.8,0.423766
182302,198357,941.136,305648,133846,255.5,1079,34.1,1108.3,-31.2,292.6,896.9,586,440.6,330.9,1770.1,1002.1,569.3,366.1,85,270.6,723.4,414.2,397.5,386.4,1417.9,925.6,2261.5,1245.8,602.5,474.4,0.470451
266154,242711,1122.94,193499,133813,1921.3,2063.1,620.4,992.7,18107.3,12842.8,35328.1,24475.3,7014.6,5212.1,14548.2,9749.3,601.5,635.2,370,403,360.3,493.2,12242.2,8690.7,18236.5,12488.2,7288.1,5290.1,1239.9,1011.7,0.485166
210260,239451,899.175,271398,165764,81.7,1158.3,45.9,1321.2,976,592,2131,1463.3,543.3,402.4,3607.6,2435.5,511.2,485.5,530.7,392.6,702.1,590,801,814.1,2517.4,1925.9,2539.3,1693.2,483.5,456.7,0.486186
179094,301330,608.613,503415,292191,291.1,1198.9,106.6,827.9,2947.3,2003.4,5967.7,3998.8,1410.9,900.4,6150.3,3858.5,908.4,877.3,899,738.5,826.6,691.2,1988.8,1493.9,4230.9,2653,3878,2611.8,945.4,721.1,0.486546
257984,224621,1176.12,213051,134348,259.9,767,-47.8,1186.9,260.4,507,1515,835.5,413.3,408.8,2683.4,2209.1,177.2,358,308.6,327.6,423.2,459.6,536.8,741.5,2412,1947.7,3054.9,2272.6,794.2,583.8,0.487765
110498,243685,464.334,386293,253427,1324,1874.3,610.4,1139.2,9483.8,5306.4,17424.4,10169.2,3778.6,2199.9,11808.4,7277.8,1022.4,921.9,720.4,738.7,449.1,315.4,6543.5,3585.6,13862.9,7833.3,13817.5,8060.6,3040.9,1768.2,0.492324
125321,221565,579.205,212778,149430,515.5,1233.9,118.4,841.3,683.5,1023,2656.3,1692.6,921.7,700.7,6053,4774.7,664.4,539.2,814.7,896.4,692.7,613.1,938.5,745.2,3724.6,2489.9,4212.1,3274,953.3,938,0.492704
287272,302068,973.855,333488,183403,559.2,999.8,-250.7,805,1988.2,1365.5,3872,2231.3,812.9,535.1,5325.4,3196.6,26.2,305.3,471.4,443.8,453.9,374.8,1674.9,951.4,6035.6,3471.6,6681,3664.9,1561.3,908.7,0.493544
212314,227332,956.369,181605,127130,-405.7,818.2,232.7,897.7,1061.2,934.1,2374.8,2164.3,585.2,571.6,4017.3,3052.8,-576.2,191.6,174.8,341.1,46.6,380.5,478.8,741.4,2777.8,2215.6,4136.1,2738.9,1344.2,1088,0.495023
399820,303128,1350.63,369925,229221,937.8,1083.3,539.2,981.9,2911.8,1897.1,6371.1,4168.9,2008.7,1161.5,8185.6,5665.4,1087.3,727.6,862.2,798.2,877.2,805.1,1663.9,1099.9,5032.8,3321,6193.2,4176.8,1603.2,1332.6,0.497542
336492,277853,1240.13,249685,159596,778.3,1434,642.3,1233.5,6312.4,3914.7,12707.4,8012.6,2388.3,1641.2,5633.4,3902.1,514.9,546.6,542.9,376.4,677.2,501.8,3760.1,2560,6895.6,4578.7,4754.5,3063,705.8,770.6,0.499202
221872,262520,865.442,231270,139328,212.9,947.6,-344.9,936.8,1560,1148,3638.5,2395.5,818.8,527.5,3799.4,2576.9,112,352.9,229.4,332.7,452.3,432.6,1540.1,1188,4076.8,2932.5,3522.6,2727.5,1274.1,805.3,0.503201
280509,247804,1159.17,312010,176886,-196.6,1157.1,-67.3,704,2112.3,1129.6,4710.7,2593.3,982.5,651.3,3289.4,1998.6,434.1,577.9,718.1,674.7,661.7,518.9,1367.8,1154.2,3276.4,2103.4,3312.7,1962.1,979.5,583.2,0.507999
323001,272845,1212.26,234368,148796,545.8,1466.1,121.7,945,1060.1,844.4,2792.7,1879.4,595,456.7,4287,2810.2,758.7,535.6,499.7,416.4,643.9,478.8,1008.9,1005.2,3828.4,2742,4365.7,2940,1149.1,779.8,0.508159
