"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
298058,256288,1190.93,263540,152347,1064.5,1390.6,-141.2,651.9,204.5,470.9,686.3,693.6,213.7,235.6,2823.9,1951.1,429,330.1,338.7,397.6,600,483.2,10849.7,6896,16517.8,10507.9,5209.6,3349.3,936.3,858,0.507418
388768,259179,1536.01,302759,178550,1503.2,1357.6,285,1385.4,296.3,476.4,991.3,681.4,389.2,414.3,4336.2,2588.8,492,437.4,779.7,528.8,740.3,602.2,12321,8078.7,18896.6,12501.8,7243.9,4942.1,1104.7,1103.8,0.512156
289569,274561,1079.98,261389,172786,568.7,1262,182.3,1438,136.1,435.5,859,848.1,359.4,482.2,3624.7,3082.3,304.2,401.7,518.2,672,448.4,503.6,1160.8,1171.6,4297.6,3282.8,4415.5,3380.2,1437,997.4,0.515724
336241,268120,1284.16,212764,147013,176.1,1077.4,-305.5,529.5,93.1,462.5,496.6,406.9,115.3,297.4,1489.8,1347.3,364.3,533.6,389.8,424,279.6,470.2,2209.5,1679.6,4751.5,3439.2,2697.8,1969.5,619.3,741.3,0.517786
190172,262789,741.05,405829,241314,215.6,1140.2,323.6,844.9,132.6,293.2,988.4,746,443.2,445.6,3105.9,1953.7,356.3,356.3,731,461.1,76.9,366.2,1067.4,732,2755.5,1747.3,3344.7,2213,792.5,771.2,0.518024
373708,259921,1472.29,313563,198282,-11.5,831.2,342,1065.7,320.8,406.9,968.6,755.6,192.2,306.4,2836.4,2049.2,811.3,453.8,720.2,445.9,205.6,444.5,1552.1,1046.4,3766.1,2860.6,3625.1,2461.8,1082.6,844.6,0.518916
355603,302709,1202.95,343766,199925,432.8,948.7,74.7,723.4,30.6,323.4,1245.9,831.7,173.5,351,2801.9,2142.4,559.2,543.8,741.6,547.1,714.5,810,3768.5,2743.4,7011.8,4729.4,4085.7,2643.2,965.7,808,0.519312
335930,303350,1134,318597,205253,612.3,809.2,162,1015.1,157.5,418.2,1265.5,823.1,109.3,318.1,4123.9,2790.2,408.9,612.8,365.8,425.6,429.5,536,4326.8,2718.4,8092.9,5246.5,5258.6,3304.2,1086.9,938.2,0.519927
235405,258511,932.495,256293,172708,-109.8,1047.6,-574.3,1118.1,296.8,500.4,443.1,487.2,346.3,397,2715.8,1741.9,640.9,535.8,549.2,410.3,428.3,484.2,2462.7,1913.7,4716.8,3146.8,2705.6,1879.8,456,626.4,0.522147
378427,285526,1357.2,274502,183741,429.5,1217.8,-89.4,1252.5,-65,502.3,787.6,850.5,203.8,367.3,2343.4,1949.7,327.1,281.3,157.1,295.3,439.9,491.4,4008.3,2767.5,7125.6,4950.3,3779,2721.9,775.2,600.7,0.52292
331442,275832,1230.44,357314,207014,-49.4,1205.5,213.6,1321.4,435.3,398.9,1073.8,763.4,604.5,414.6,3814.8,2228.7,488.7,536.4,871.9,492.7,811.3,647.9,4784.4,2957,9081.3,5197.7,5249.4,3262.4,1018.5,828.5,0.524704
412851,316422,1336.08,346467,206928,801.9,1039.6,-24.7,926,99.5,561.4,817.9,860.6,317.7,335.2,2966.6,2024.6,525.4,469.8,499.8,622,424.7,556.2,2653,1761.3,6289.7,3639.1,4221.7,2541.8,767.1,729.9,0.525517
215773,267283,826.667,270738,170234,311.2,1019.9,-15,1041.4,283.5,409.2,820.3,528.9,189.5,264.2,2654.8,1871.6,699.7,392.3,343.3,392.4,385,393.5,2031.1,1654.1,4994.5,3285.5,3683,2606.9,948.7,736.9,0.52627
403629,273130,1513.27,328478,211410,1166.6,1146.6,-275.5,972.7,37,417.7,1412.9,1140.1,382.9,375.6,4468,3022.3,616,441.5,650.6,525,499.4,532.5,1563.9,1202.2,5964.9,3828.1,4513.5,3069.8,1315.6,686.7,0.527856
239439,274866,892.023,309555,215193,771.5,1003.2,184.1,1012.5,229.3,502.8,828.7,646,417.6,314.8,3334.3,2529,641.2,531.1,301.9,453.4,767.1,617.6,1722.4,1256.7,4283.9,3263.5,3474.3,2339.4,600.2,580.9,0.528134
257432,262288,1005.07,249048,148336,348.4,1078.9,183.6,1151.3,258.9,423.1,1127.7,878.6,342,399.9,3338.6,2509.8,323.3,566.5,574,585.1,603.3,466.4,2199,1646.3,5773.6,3938.3,3442,2485.9,854.2,798.1,0.529442
365966,284851,1315.61,243312,164369,605.5,1027.6,189.5,849.4,-20.4,376,1009.6,703.9,290.1,328.7,2713.1,2090.4,257.2,599.4,736.5,524.3,434.6,443,2195.8,1668,4887.6,3777.4,3441.6,2492.9,939.6,613.5,0.53075
337106,305864,1128.59,371783,242913,1552.3,1670.7,693.7,1183.9,246,429.3,1122.3,901.5,309.7,326.3,3350.2,2564.4,438.2,445.5,594.9,646.5,220.4,358.9,15559.5,9824.1,22507.7,14278,7177.2,4740.7,1605.8,1217.9,0.531167
273721,257941,1086.66,269940,165690,339.9,1324.9,-95.5,628,123.2,363.7,739.4,827.9,575.1,432,3157.3,2283,423.1,468.6,118.7,341.7,475.6,570.9,3216.4,2218.9,6286.9,4058.5,3350.2,2384.9,929.5,540.2,0.531623
364515,287724,1297.31,370013,208861,147.4,918.5,10,954.1,61.2,309.7,1015.6,679.6,260.5,355.9,3430.1,2246.5,644.5,544.2,484.2,494.7,1099.1,718.1,2625.7,1550.5,5848.8,3481.3,4211.8,2504.6,1141.4,833.9,0.532257
356239,255993,1425,267948,168873,115.6,912.6,63.1,888.5,353.5,560.4,918.6,759.6,87.6,231.4,2255.4,1928,112.7,442.5,188,463.2,-85.5,249.3,2003.5,1325.8,4365.1,3122.4,3655,2582.7,898.8,842.5,0.53307
259952,243940,1091.23,292478,189353,711.7,1287.2,-217.7,668.2,121,404.1,344.6,452.7,-171.7,235.9,2064.7,1541.1,562.3,391.8,415.8,511.4,91.4,299.4,2501.3,1657,4678,3371.2,2881.8,1748.8,753,528.6,0.533605
143435,213770,687.086,236993,143052,-38.3,1413.8,-92.7,664.9,-58.9,293.1,487.3,349.4,281.8,295,1333.8,856.8,-135.9,258.3,286.6,328.3,72.1,405.8,1049.2,990.7,1779.9,1239.1,1692.2,1316.1,353.9,419.2,0.535567
420067,287655,1495.4,402901,237807,948.9,942.8,60.6,728.7,454,422.2,1348.8,879.6,547.4,447.6,4419,3213.4,865.7,697.9,745.6,661.3,308.6,486.5,12940.3,7761,19744.4,11679.5,7267.5,5020.7,1532.4,1122.2,0.536876
277851,237523,1197.87,204163,143582,582.1,1011.9,145.6,1123.3,319.6,343.7,605.7,469.8,75.5,412,1662.9,1386.5,273.5,439.2,507,473.3,244.5,517.3,1874,1350.6,4493.2,3113.6,2727,1852.4,737.1,594.4,0.538462
316106,248285,1303.74,195192,131821,1015.9,892.1,-118.4,870.5,-90.7,491.1,1124.5,804.6,348.7,386.5,2655.6,2087.4,411.2,600.2,570.8,413.5,687.2,506,3691.5,2404.7,6676.9,4722.8,3890.5,2472.8,574.9,592.4,0.540484
