"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
213420,246929,885.042,212139,135567,169.2,1063.1,-661.3,682,390.8,339,785.8,895,242.9,268.1,2692.7,2134.5,820.6,603.1,822.4,613.7,746.7,774.6,620.5,471,2413.6,1668.6,2982.2,2118,898.8,672.2,0.116937
331731,260516,1303.94,235648,146751,620.6,1054.1,-44.2,777,229.7,463.3,733.3,625.3,17.3,300.3,4407.8,2932.2,396.7,520.1,325,393.8,402.1,522.2,852.8,631.9,2829.3,2006.6,3052.8,2556.7,640.8,668,0.117572
156377,198343,807.365,267836,145513,331,1028.7,-35.4,935,117.2,247.8,328.9,354.8,-145,239.2,1405,1117.9,362.5,385.3,120,346.3,26.1,238,402.9,580,1003.5,762,1566.4,855.8,260,358.3,0.117632
111929,215072,532.933,264212,164520,319.7,949,-126.9,840.7,-235.2,359.4,807.9,645.9,434.8,353.3,2080.3,1746.6,453.2,423.5,227.6,294.9,325.1,564,370.4,434.7,1407.6,1278.2,2011.5,1198.4,314.7,405.5,0.117711
301896,289568,1067.59,276872,178894,352.8,1074.3,181.9,849.5,108.1,269.4,912.8,726.9,211.3,273,3728.5,2793.4,742.1,726.8,480.3,480.9,636.8,690.1,297.8,562.2,3047.5,2382.6,4909.4,3458.3,1129,1069.9,0.119873
285659,271237,1078.47,277470,177409,697.8,1131.9,43.5,1042.3,148.2,374,1408.8,1113.7,394.4,444.5,4530.2,3615.2,874.9,619.6,946.7,766.6,719.2,469.4,672.5,649.3,3954.8,2767.9,4940.1,3415.6,865.2,858.9,0.119952
385086,298074,1322.93,337693,187348,40.6,561.1,396.2,983.8,173.9,382.5,909.8,841.3,582.5,452,3775,2393,711.6,721.8,736.9,575.4,648.4,853.8,919.5,860.3,3287.5,2380.9,4544.1,2772.2,1149.6,749,0.120031
239683,253527,968.109,230442,152189,414.6,1121,247.8,1376.4,282.4,585.6,1304.9,1021.1,404.5,610,5100.6,3839.8,175,600.9,271.3,567.8,933.2,680.7,362.9,537.7,2678.9,1992.8,3822.1,3032.4,1129.2,935.2,0.125327
240924,271471,908.797,248716,151483,241.5,984.1,207.3,916.1,560.9,541.9,616.6,869.8,192.9,283.4,2320.8,1817.8,545.1,500.4,372.6,606.2,278.7,425.4,730.2,691.5,2536,1751.5,2929.2,2057.8,562,563,0.126438
236954,246108,985.928,199943,125019,-225.2,897.9,-78.4,714.7,469.3,532.1,674.5,853.5,89.1,486.3,2779.6,2138.6,586.7,482.5,-1.9,392.5,325,463.1,610.6,589.6,2570.4,1844.1,3072.5,2362.9,518,702,0.128718
405445,281944,1472.58,305252,178840,132.4,1157.6,-613.6,1092.7,490.3,544.4,2194.1,1933.9,752.5,462.1,6058.2,4353.6,930.2,651.7,776,656.9,917.5,673.2,908.5,942.6,4373.6,2933.2,5838.2,3788.9,1431.2,1147.4,0.129016
306093,279602,1121.03,319954,184540,637.8,923.5,70.7,1098.9,183.8,391.2,1006.2,519.3,166.1,285.5,3782.5,2343.9,263.5,302.1,702.2,598.9,596.5,499.3,735.4,598.3,4108.6,2433,5548.3,3459.1,1248,802.7,0.129849
330612,249883,1354.84,215685,130251,116.9,1347.3,45.1,640.4,173.8,576.3,1005.4,881,508.6,425.2,2743.3,2261.5,292.3,363.7,661.6,404.5,306.5,457.6,421.1,494.1,2558.4,2150.4,3769.8,3050.5,992.1,661.9,0.134569
175999,224738,801.93,228605,140003,382.4,1084.7,-28.4,1298.1,600,488,314.7,629.1,217.3,324.2,1994.7,1518.8,488.3,414,435.5,448.5,480.1,394.5,364.6,634.1,2314.9,1734.5,2996.2,2253.8,418.9,516.7,0.134609
400167,287875,1423.45,256976,157620,163.4,1231.6,-119.1,898.7,957.8,925.3,5325.9,3840.5,2288,1826.4,13242.9,10422.5,1016.9,932.6,1727,1875.7,1305.8,1245.5,842.9,750,5330.4,3862.9,9515.9,6395.8,2326.4,2037.7,0.135184
350027,261448,1370.93,212049,132198,698.1,1151.1,-89.3,939.8,675.9,781.1,2092.8,1763.6,942.6,662.2,7158.7,6346.6,1089.7,727.6,547.4,623.4,695.6,834.9,568.7,706,5018,3967.3,6222.8,5376.3,1650.2,1677.7,0.136791
310043,253720,1251.31,222845,136417,266.8,1643.1,212,720.9,175.5,406.6,951.4,730.9,126.2,239.5,2430.9,1469.2,246.4,325,75.3,283.9,311.3,426.4,911.1,680.9,2010.4,1608.9,2938.2,2212.8,871.2,612.3,0.138258
188999,207730,931.672,320823,173690,143.4,1479.9,208.1,846.8,162.5,385.1,372.4,372,609.7,490.4,2250.2,1292,689,582.7,520.4,403.2,946.5,597.8,476.4,542.9,1859,1075.8,2173.1,1220.6,497.5,469.1,0.13919
145844,199744,747.708,190222,130328,15.1,863.6,336.2,741.1,166.4,445.5,318.6,665.8,316.2,364.7,1369.4,1117.6,345.5,447,355.4,365.4,425.8,500.5,440.7,467.4,1023.1,918,1114.9,1007,545.5,391.3,0.140896
143907,219951,669.99,224429,131827,273,744.1,-91.2,948.1,197.9,389.9,343.6,421.8,104.9,299.4,1863.3,1377.8,805.6,476.4,711.1,494.2,226.7,393.4,370.7,635.5,1574.5,1127.5,2352.7,1377.8,420.5,403,0.143336
237111,267764,906.786,234326,151891,-107.2,697.9,-4.9,586.7,62.8,476.1,484,709.5,262.6,358.3,1776.6,1538.6,540.2,434.5,191.1,336.5,30.5,191.1,382.6,429.6,2007.4,1356.1,2843.5,2162.9,704,582,0.143891
277711,249360,1140.46,198212,127648,47.9,1069.6,-13.6,1004.7,231.8,384.4,453.1,565.9,332,446.1,3146.2,2577.6,172.2,395.7,558,480.9,433.5,457.2,768.5,718.6,2631.1,2117.2,3093.2,2180.9,841.2,747.4,0.14399
249706,264253,967.644,324595,197462,41.2,888.5,-345.9,836.7,320.1,466.8,928.5,1030.2,115.3,362,4109.9,2669.2,698.2,405.7,323.9,657.8,192,353.1,706.8,648,3504.1,2418.2,4481.8,2982.3,991.9,1023,0.146787
353456,251880,1436.99,272090,176465,712.6,1065.5,51.7,900.4,302,481.8,233.5,620.4,269.1,356.3,3868.9,2679.4,600.4,526.3,288.7,483.2,940.2,639.5,786.8,699,3257.1,2281,3968.6,2717.9,1088.2,719.4,0.147441
296315,272042,1115.37,243018,146723,-165.1,868.7,222.6,1034.1,126.5,272,1018.7,805.1,259.3,300.2,2122.7,1478.8,183.8,342,-96.5,272.5,55.1,338.5,717.1,618.1,2374.4,1758.5,2723.2,1925.8,619.9,516.7,0.148988
351031,265051,1356.19,209511,141348,630.4,951.6,525.9,970.7,-12.2,445.3,606.9,960.5,183,282.4,2516.9,1782.5,316.4,348.6,272,339.7,84.3,453.5,433.4,510,2485.9,1902.9,3031.4,2355.8,1029.9,845.7,0.149722
344562,254898,1384.22,203993,135998,473.2,906.8,-18.8,1256.7,134.5,356.7,913.7,714.3,105.9,299.4,2367.2,1689.1,117.2,366.6,133.3,406.5,353.3,493.7,369.5,479.3,2422.8,2130,3156.5,2101,636.8,643.9,0.150079
190303,225192,865.352,181897,129581,459.7,1005.5,-350.6,520.6,103,462.1,379,341.3,255.9,392.3,2374.6,2080.6,426.5,609.1,525.1,583.5,488.9,460.3,715.1,588.2,2540.2,1736.5,2769.8,2027.5,625.9,478,0.151586
244685,220600,1135.84,285390,158735,229.9,913.4,-76.7,903.9,60.8,370.6,989.8,573.8,253.2,368.5,2382.5,1583.6,425.7,590.5,685.8,421.8,255.6,299,664.2,536.9,2119.7,1593.8,2966.9,1840.1,965.6,653.6,0.152975
263259,251628,1071.35,216366,134856,433.3,1303.4,16.2,777.1,196.4,379.4,804.6,637.4,615.1,472.9,3052.9,1990.5,1196,719.8,706.1,577.6,194.9,565.5,771.9,591.7,3094.5,1979.7,3334.4,2492.7,719.3,609.2,0.15351
227312,255629,910.583,237114,161440,-226.3,986.4,-3.8,934.3,597.9,808.5,1487.4,1251,705.2,705.7,4407.9,3195.2,672.6,653.5,274.1,405.3,406.6,436.3,371,474.5,3370.2,2224,7066.2,4548.1,1627.3,1208.9,0.156426
