"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
286356,225563,1300,171349,124183,286,929.8,682,1332.6,5106.1,3319,9660.7,6662.2,1992.9,1440.9,3234.7,2303.9,199.4,482.3,389.7,404.8,73.7,280.2,426.1,417.4,1682.9,1206.3,1963.8,1635.5,236.8,387.9,0.507196
228889,258241,907.612,218123,139401,934,997.8,658,978.5,16772.8,10663.8,31493.2,19592.6,6031.6,4096.5,9771.1,7109.4,421.8,539.7,416.4,383.7,326.1,494.2,485.5,550.1,2764.7,2048.5,4252.4,2634.1,883.4,829,0.53128
347334,259673,1369.69,249554,155252,1093.5,1368.3,577.2,1257.5,12977.1,8327,25183.9,15984.7,5335.4,3351.1,10888.4,6798.4,966.3,676.6,558.7,600.1,528.6,339.6,482.4,579.4,3177.8,2360.1,4653.7,2925.3,1207,962.4,0.536368
214945,326587,673.957,409120,224264,1521.8,1277.6,827.2,795.7,16486.7,8543.4,31411.2,16545.6,6232.3,3264.3,14219.3,8268.1,1041.2,568.4,907.5,651.2,757.2,816.3,691.3,502.7,4262.9,2716.8,6304.7,3723.8,1501.6,1018.3,0.545088
332938,300337,1135.16,308536,180380,547.8,1120.6,178,895.4,5379.8,3132.7,11546.1,6296.3,1913.4,1377.6,8054,4258.1,591,554.3,724.2,540.1,719.3,603.8,712.9,629.3,4114,2439.8,5757.5,3263.3,1217.5,877.3,0.570428
341744,295759,1183.24,285100,173870,1199.8,946.1,617.3,1298.5,28208.1,15899.9,52829.1,29915.6,10546.3,6234.9,15161.8,9573.1,782.6,527.7,1138.6,937.6,612.4,886.8,798.5,658,3585.5,2351.6,5885.6,3481.4,1482,1162.4,0.585533
466727,323676,1476.58,456878,261423,154.9,1069.8,569.3,989.4,14044.8,7648.7,27789.7,14466.2,5443.1,3073.1,10528.9,6544.5,1406,974.3,1214.5,974,688.6,582.4,897.8,764.9,5255.8,3275.4,6986.4,3961.8,1742.4,1034.7,0.593694
214197,295885,741.305,381414,247525,1127.1,1162.8,813.1,1176.5,14515.3,8368.8,27667.9,16144,5118.4,3142.3,11671.1,7181.9,415,680.6,1069.5,810.9,407,653,579.3,638.9,3770.8,2295.2,5027.1,3151.8,686.4,840.5,0.6084
298851,238063,1285.51,297974,213734,333.7,958,333.5,981.9,7500.3,5084.5,13656.1,9144.5,3017.6,2055.1,6777.9,5174.1,727,765.1,270.4,504.9,440.6,632.7,666.6,520,2964,2107.2,3751.9,2669.8,644.2,685.6,0.622307
289846,276924,1071.8,321821,213295,1887.4,1613.8,1121.8,1421.4,18399.8,11544.7,36298.7,21938.2,7274.1,4385.1,12123.9,8520.5,780,646.3,657,614,37.1,350.4,308.8,732.9,3412.8,2403.4,5240.4,3705.8,1369.9,1130.7,0.632543
201377,276827,744.914,312540,201663,787,1345.8,317.5,732.6,10959.6,6719,20795.7,12206.2,4290.4,2544.9,8414.2,5519.9,747.4,618.3,302.7,452.8,215.7,464.2,755.6,529.4,3682.9,2430.3,5710.3,3739.5,1145.8,1011.9,0.638011
212786,263237,827.758,277341,196397,2478.6,1858.8,1329.6,1376.5,28186.3,17064.8,52583.4,31792,10467.4,6334.3,15160.6,9877.9,624.5,680.6,320,570.9,402.5,453,90.3,470.9,3620.3,2471.2,4918.1,3703.8,991.4,704.5,0.645713
314623,268137,1201.53,248432,158377,1342,1677.8,1378,1162.5,24904.8,15727.8,47416.7,29432.6,9467.6,6048.5,15453.6,10685.4,714.8,587.7,753.9,727.7,306.1,406.2,619.5,622.1,3433.2,2496.5,5558.4,4250.1,1503.4,1157,0.664928
275004,240927,1168.87,221130,167278,2044.7,1838,913.5,1005.9,21711.3,15428.5,43067.6,30352.5,8399.6,6415.1,13342.4,9814.1,1377,757.1,819.9,712.9,119.1,344.7,559.1,648,2889,2115.2,3966.9,3109.8,1416.7,1013.6,0.670235
195048,247364,807.445,229185,155533,822.6,1179.6,707.8,1300.1,19613.6,13449.7,36554.3,24420,7184.7,4958.7,12007.6,9044.6,438.7,550.9,311.3,612,464.1,482.6,357.7,364.7,2704.1,1988.9,4575.3,3001.4,912.6,771.8,0.680052
386377,245946,1608.7,262941,182252,741.3,1477.6,610.7,1173.4,16607.3,11005,33143.1,21037.9,6130.6,4206.7,9770.6,6994.2,298.7,537.9,165.6,473.7,152.7,339.7,440,499.7,2569.9,2000.8,3773.4,2893.2,563.9,696,0.687894
257847,250523,1053.95,269537,203912,1608.8,1549.6,802.2,1187.7,20797.7,13607.4,39516.7,26121.6,7302.3,4672.3,9719.3,7052.1,773.7,784.4,408,467.2,403.7,376.3,351.3,598.7,2116.9,1764.8,3073.2,2363.8,678.6,642.3,0.688672
122316,222457,563.04,338321,201332,231.8,1024.6,345.5,1119.4,6006.8,3308.7,11831.6,7032.3,2435.9,1489.6,5559.5,4042.1,766.5,770.3,658.7,612.1,276.3,275.8,370.4,309.3,1855.5,1343.8,2872.5,1935.3,856.5,597.3,0.698889
335452,273869,1254.28,281001,186621,1251.1,1722.8,1234.6,1712.5,24872.3,16032.8,47763.9,31000,9418.9,6142.3,15152.6,10029.9,445.5,528.6,777.5,514.9,456.5,517,561.3,710.9,4247.8,3039.2,7941.1,5335.8,1806.4,1624.5,0.796102
251065,285419,900.757,460325,271985,2435.7,2177.8,1902.5,1638.9,45541.8,26649.7,87510.6,51306.3,17365,10249.7,26468.2,16760,1293.9,791.6,1423.9,953.6,774.4,962.2,865.8,689,4658.6,3111.1,7482.3,4691,1894,1440.3,0.797458
268431,238364,1153.18,348561,210343,2314,2191.8,1226.3,1296,35952.9,22386.1,68471.8,42868.6,13277.6,8516.4,21208.8,14788.9,810.2,795.2,875.2,700.5,894.1,477.9,502.5,642.1,3338.7,2520.4,5968.5,3938.2,1428.6,821.6,0.878589
287682,249892,1178.87,223606,149192,1236.3,1140.9,257.6,533.9,12036.6,7920.3,23836.5,15514.5,4727.8,3062.8,8165.4,5948.8,570.2,694.2,431.2,486.9,540.7,389.3,695.5,622.5,3015.2,2399.8,3580.5,2681.9,1044.2,832.1,0.884395
329772,307570,1097.92,342634,212224,1538.1,1555.3,638.2,1491.3,10496.2,6551.6,20293,12103.1,4087.1,2470.3,7420.9,4869.5,822.6,732.4,644.2,514.8,620.5,481.2,363.1,588.7,3665.7,2523.3,4553.3,2980.9,1142.8,873,0.901276
361516,291105,1271.68,250565,172591,56.1,1116.4,721.6,1008,5427.3,3039.2,10673.9,6135.5,2271.3,1255,2514.2,1692.7,343.4,548.2,695.6,480.5,437.4,550.4,236.5,488.7,1532.5,1307.8,2573,1911.6,225.3,299.4,0.966723
337960,256088,1351.41,319437,193318,2688.4,2525.9,614.8,1449.6,19020.6,11681.3,36462.4,22421.9,7348.2,4421.6,22342.1,14039.9,801.7,713.3,590.7,683.1,674.6,530.2,695.1,779.8,3569.8,2462.8,5747.6,3673.1,1152.3,857.4,0.990488
355062,282395,1287.51,406638,238537,2456.2,2025.8,1229.5,1310.9,20078.8,12177.7,37463.1,22290.3,7937,4753.7,24118.7,14528,863.4,855.6,802.4,633.6,206.4,442.2,766.3,697,4283.1,2591.1,6016.3,3859,1375,968.3,0.991286
298768,221356,1382.14,206829,137317,863.6,1291.6,678.3,1172.1,14893.6,9529.7,26707.3,16796,5505.2,3598.7,12249.1,8588.6,538.7,542.9,484.3,452,961.6,514.6,423.2,676.7,3334.6,2348.9,5398.8,3353.4,1043.6,819.8,0.994858
299487,208044,1474.11,198376,138951,2235.5,2167.8,2186.8,2032,45979.9,29666.1,87292.8,56332.6,16637.6,11020.4,20210.8,14700.9,477.7,603.2,585.2,596.5,487.1,629.9,269,594.1,3632.7,2536.4,5294,3794.2,1243.6,925.6,0.997192
377819,245747,1574.35,223937,143535,542,1473.8,228,948.6,4799.6,3039,9154.7,5942.2,1405.9,1216.9,6314.7,4143.9,661.4,650.3,525.7,588.8,470.7,528.2,454.6,513.4,3138.9,2046.3,4492.8,2915.5,938.3,587.9,1.00306
280001,237152,1209.05,224223,145454,789.9,973.9,154.8,833.6,8576.6,5897.3,17036.9,11421.9,3442.2,2325.6,10536.1,7207.9,399.2,569.3,606.2,523.1,242.6,378.2,333.1,459.8,2564.3,2046.8,3905.6,2865.1,886.8,889.4,1.00418
417297,288193,1482.73,359844,200156,482,1072.3,168.7,1057.5,11390.6,6815,21778.9,13064.7,4570.4,2607.1,9560.9,6526.4,975.8,660.6,889.7,720.1,422.1,451.6,602.9,531.4,3567.3,2368.1,4791.7,3285.3,946.5,818.4,1.01393
302970,247750,1252.26,230255,146256,610.7,1165.4,366.7,880.8,9468.4,5992.2,18620.6,11604.3,3873.7,2396.5,10503.7,6801,231.3,489.2,878.1,693.3,761.8,872.8,563.7,563.1,3222.2,2464.7,5153.3,3526,1105.3,815,1.01423
274192,237316,1183.13,223309,130005,1344.1,1899.6,383.3,996.1,13600.1,8505.7,25143.3,15356,4845.7,3214.7,11353.1,7340.6,576.7,534.9,482.8,484,430.1,674.6,632.2,676.7,3188.1,2348.9,4287.3,2801.4,795.6,659.8,1.01467
90294.8,234908,393.614,295867,191433,226.5,1222.2,353.5,879.3,5275.3,3479.1,10157.1,6394.7,1922.3,1306.6,4896.5,3569.8,537.1,521.4,453.3,535.8,522.4,645.9,484.9,544.6,1922.3,1548.8,2921.1,2001.8,225.1,462.2,1.01583
