"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
361899,293222,1263.86,299200,215046,3083.35
366834,258250,1454.56,369640,233724,1340.31
290425,228254,1302.95,313681,228344,5906.9
350889,227768,1577.53,194479,130741,5199.46
193133,171576,1152.7,227101,144572,1521.65
202917,214140,970.348,339315,226896,5043.48
207487,167378,1269.39,341664,184196,3699.18
293065,271266,1106.3,365775,238810,8741.99
290603,205940,1445,257752,183673,7039.6
306334,218858,1433.3,211387,140053,2572.7
359585,263544,1397.16,361178,240028,9734.87
358090,256368,1430.3,338141,225137,6989.13
334491,218018,1571.07,475305,251242,30787.2
218523,183613,1218.72,213628,151577,1223.38
286702,296545,990.014,380527,236123,5007.39
282646,221122,1308.93,304198,218330,14519.2
183214,211081,888.813,208210,157215,3915.86
283380,236167,1228.75,188172,146970,3646.29
273983,209101,1341.77,317006,190406,13853.9
327382,278130,1205.34,473020,306522,10239.3
355797,211892,1719.47,428848,221084,8435.65
190566,141547,1378.64,278996,174380,458.088
221908,208749,1088.57,165315,112483,2771.58
210977,160842,1343.2,177060,122775,1889.51
310256,185146,1715.97,302861,158038,764.868
313300,224334,1430.13,200159,142565,6943.98
304652,180885,1724.7,287935,185363,7701.65
411794,262680,1605.28,255657,176919,3007.12
204395,184784,1132.73,178849,129440,2163.6
297723,307710,990.783,484192,288220,3113.65
320635,248107,1323.35,193827,133493,6092.03
175220,213394,840.822,261831,146373,3822.79
558183,375965,1520.32,532723,353374,11275.2
303801,263819,1179.2,277622,185466,7861.76
376265,261358,1474.24,269992,176982,8897.6
340466,235020,1483.46,204254,152734,1371.89
279029,199983,1428.8,195461,135567,708.668
344894,264359,1335.99,333796,225413,1976.77
245934,213306,1180.65,449465,289398,7468.44
212042,173324,1252.78,167681,119461,2235.75
432696,266149,1664.81,247046,166338,5742.28
310372,252948,1256.49,320766,214432,8191.97
228398,220166,1062.32,310408,203712,10551.2
227060,213456,1089.26,321296,211765,6278.47
329175,279087,1207.81,256708,167923,10865.6
375854,279688,1376.08,433478,265172,19825.5
442394,266865,1697.53,581463,339735,8319.32
414776,296701,1431.53,408776,269214,9440.06
233395,227098,1052.4,266981,186242,4203.59
251111,185082,1389.33,161352,113719,6017.08
349721,241610,1482.21,273515,184853,4215.6
232342,181962,1307.53,220700,157614,828.437
288240,222248,1328.05,389145,221723,9032.42
330111,248270,1361.59,342379,209309,1672.07
252032,229055,1126.75,298394,211535,4161.65
388024,302729,1312.52,431774,285170,13078.2
186483,120467,1585.19,291503,223582,-178.364
393327,262506,1534.32,420438,264552,27862
366823,259122,1449.62,532576,301121,25057.9
411058,248634,1692.96,414742,258010,9951.35
397402,252044,1614.58,319324,208665,7732.24
242328,242494,1023.32,184004,128893,2319.84
200416,190513,1077.23,181336,129693,1096.51
269397,239625,1151.23,225912,163275,2799.53
346881,211939,1676,253081,160960,2494.1
212291,231737,938.076,241915,150844,16406.1
220192,211538,1065.9,280512,200652,10266.9
176236,193385,933.196,283696,176483,6148.32
258080,219133,1206.03,299463,178710,35387.1
303360,246226,1261.61,330783,216616,6559.89
248482,247873,1026.52,462203,283490,6702.19
268184,236989,1158.81,458198,268909,7079.95
256817,262666,1001.2,256864,174578,6321.13
224685,143335,1605.25,339160,183940,5785.03
308858,189282,1670.91,271847,168618,2555.2
366000,267331,1401.96,336990,211644,11077.4
410947,279689,1504.57,351513,230869,4438.05
288895,231291,1279.05,246844,166689,4499.49
226024,201360,1149.42,294936,207091,1685
198445,215769,941.788,274814,179363,6935.27
327747,248385,1351.18,298528,197491,9701.44
366458,291614,1286.84,326428,225478,9732.23
351593,238322,1510.7,312133,216146,5589.26
230059,189563,1242.77,186207,124836,4091.63
228682,255932,914.985,228673,157934,2652.89
271460,219457,1266.66,265729,179220,6207.23
198464,214163,948.95,252736,182440,6014.11
228138,236114,989.413,233692,164030,2886.81
